restaurant_id,restaurant_name,description,city,area,cuisine,rating,number_of_reviews,average_price,delivery_time_minutes,distance_km,commission_rate,restaurant_status
39,Gonzales Inc Corner,Self-enabling interactive concept,East Lisa,Callahan Ridge,Fast Food,3.04,131,464.88,38,11.34,0.25,open
40,"Taylor, Clark and Clark Hub",Implemented explicit orchestration,New Michaelview,Mario Squares,North Indian,4.37,117,550.24,49,8.95,0.22,open
41,Farley-Robertson Zaika,Streamlined clear-thinking standardization,East Sydneychester,Victoria Way,North Indian,3.96,107,599.81,32,8.23,0.22,open
42,Wright Ltd Zaika,Future-proofed responsive instruction set,Mariafurt,Thomas Roads,Desserts,4.17,119,383.53,34,5.59,0.22,open
43,Hayes-Schultz Hub,Inverse optimal ability,South Zacharyview,Gibson Oval,Continental,3.95,134,435.65,34,6.15,0.18,open
44,"Davis, Stanton and Reid Corner",Extended modular flexibility,Melissaside,Robinson Meadow,Biryani,4.76,143,294.48,38,1.7,0.2,open
45,Clayton-Morgan House,Business-focused 6thgeneration attitude,New Melissa,Shannon Track,Desserts,3.84,106,279.7,20,11.37,0.18,open
46,"Bowers, Stevens and Martinez Bhojan",De-engineered solution-oriented framework,South Stephen,Harris Spurs,Fast Food,3.32,126,295.47,40,11.66,0.25,closed
47,Baxter LLC Kitchen,Down-sized actuating infrastructure,Lake Michaelland,Beck Run,Desserts,3.59,126,335.96,31,2.66,0.22,open
48,"Torres, Lyons and Young Corner",Face-to-face multi-state software,Lake Codyborough,Miller Ramp,Desserts,4.06,133,492.0,50,2.84,0.2,busy
49,Smith-Dominguez Corner,Cross-group upward-trending workforce,Port Robertberg,Jones Lights,Desserts,4.51,117,204.64,36,11.69,0.2,open
50,Garcia LLC Bhojan,Advanced reciprocal projection,Derrickberg,Casey Port,North Indian,4.74,110,398.51,43,1.57,0.18,open
